city_county,location_name,address,phone,hours_of_operation,latitude_longitude
Albany/Albany County,Albany Public Library: Arbor Hill/West Hill Branch,"148 Henry Johnson Boulevard, Albany, NY 12210",(518) 427-4300 EXT. 2,Mon & Wed: 12:00 PM - 8:00 PM; Tues & Thurs: 10:00 AM - 6:00 PM; Fri: 12:00 PM - 6:00 PM; Sun: 1:00 PM - 5:00 PM,"42.6616388, -73.76036169999999"
Albany/Albany County,Albany Public Library: Bach Branch,"455 New Scotland Avenue, Albany, NY 12208",(518) 427-4300 EXT. 2,Mon & Wed: 10:00 AM - 6:00 PM; Tues & Thurs: 12:00 PM - 8:00 PM; Fri: 12:00 PM - 6:00 PM; Sun: 1:00 PM - 5:00 PM,"42.655, -73.79621399999999"
Albany/Albany County,Albany Public Library: Delaware Branch,"331 Delaware Avenue, Albany, NY 12209",(518) 427-4300 EXT. 4,Mon & Wed: 10:00 AM - 6:00 PM; Tues & Thurs: 12:00 PM - 8:00 PM; Fri: 12:00 PM - 6:00 PM; Sun: 1:00 PM - 5:00 PM,"42.6430549, -73.7781147"
Albany/Albany County,Albany Public Library: Howe Branch,"105 Schuyler Street, Albany, NY 12202",(518) 427-4300 EXT. 5,Mon & Wed: 12:00 PM - 8:00 PM; Tues & Thurs: 10:00 AM - 6:00 PM; Fri: 12:00 PM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,"42.64136449999999, -73.7582791"
Albany/Albany County,Albany Public Library: North Albany Branch,"616 North Pearl Street, Albany, NY 12204",(518) 427-4300 EXT. 6,"Mon & Fri: 10:00 AM - 6:00 PM; Tues & Thurs: 12:00 PM - 6:00 PM, Wed: 12:00 PM - 8:00 PM","42.673998, -73.7401258"
Albany/Albany County,Albany Public Library: Pine Hills Branch,"517 Western Avenue, Albany, NY 12203",(518) 427-4300 EXT. 7,Mon & Wed: 12:00 PM - 8:00 PM; Tues & Thurs: 10:00 AM - 6:00 PM; Fri: 12:00 PM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,"42.6666872, -73.7908708"
Albany/Albany County,Albany Public Library: Washington Avenue Branch,"161 Washington Avenue, Albany, NY 12210",(518) 427-4300 EXT. 1,"Mon, Wed, Fri: 10:00 AM - 6:00 PM; Tues & Thurs: 12:00 PM - 8:00 PM; Sat: 10:00 AM - 5:00 PM","42.656494, -73.7622949"
Albany/Albany County,Arbor Hill Community Center Pool,"50 Lark St, Albany, NY 12210",518-434-5699,Mon-Sun: 1:00 PM - 6:00 PM,"42.6613441, -73.75743489999999"
Albany/Albany County,Beltrone Living Center,"6 A Winners Cir, Colonie, NY 12205",518-459-2711,Mon-Fri: 8:30 AM-5:00 PM,"42.71832029999999, -73.7952867"
Delmar/Albany County,Bethlehem Town Hall,"261 Elm Avenue, Delmar, NY 12054",518-439-4955,Call for operating hours,"42.6021867, -73.8463172"
Albany/Albany County,Black Lives Matter Park Spray Pad,"484 Livingston Ave, Albany, NY 12206",518-434-5699,Mon-Sun: 10:00 AM-6:00 PM,"42.6680579, -73.766942"
Albany/Albany County,Capital City Rescue Mission,"259 S Pearl St, Albany, NY 12202",518-462-0459 x 221,Open 24/7 during heat waves,"42.642787, -73.75750649999999"
Albany/Albany County,Colonie St. Park (Wilkie Playground) Spray Pad,"200 Colonie Street, Albany, NY 12210",518-434-5699,Mon-Sun: 10:00 AM-6:00 PM,"42.6615747, -73.7533937"
Menands/Albany County,Hackett Park Spray Pad,"35 N 1st Street, Albany, NY 12204",518-434-5699,Mon-Sun: 10:00 AM-6:00 PM,"42.6727886, -73.7407966"
Albany/Albany County,Hockey Facility,"830 Albany-Shaker Rd., Loudonville, NY 12211",518-452-7396,Hours of operation vary. Please see schedule listed on the website linked here: https://www.albanycounty.com/departments/recreation/hockey-facility,"42.7462392, -73.8164496"
Albany/Albany County,Krank Park Spray Pad,"65 First Avenue, Albany, NY 12202",518-434-5699,Mon-Sun: 10:00 AM-6:00 PM,"42.63594399999999, -73.76506599999999"
Albany/Albany County,Mater Christi Pool,"1134 New Scotland Rd, Albany, NY 12208",518-434-5699,Mon-Sun: 1:00 PM - 6:00 PM,"42.6484174, -73.8389491"
Newtonville/Albany County,Memorial Town Hall,"534 Loudon Rd, Newtonville, NY 12110",518-783-2700,Mon & Wed: 12:00 PM -8:00 PM; Tues & Thurs: 10:00 AM - 1:00 PM,"42.7194819, -73.7560208"
Albany/Albany County,North Swan St. Park Spray Pad,"52 2nd St, Albany, NY 12210",518-434-5699,Mon-Sun: 10:00 AM-6:00 PM,"42.658398, -73.753781"
Latham/Albany County,Public Operations Center,"347 Old Niskayuna Rd, Latham, NY 12110",518-783-2700,Call for operating hours,"42.7460397, -73.7926263"
Albany/Albany County,Ridgefield Park Spray Pad,"316 Partridge St, Albany, NY 12208",518-434-5699,Mon-Sun: 10:00 AM-6:00 PM,"42.660022, -73.787975"
Albany/Albany County,Rosemont Park Spray Pad,"90 Rosemont St, Albany, NY 12203",518-434-5699,Mon-Sun: 10:00 AM-6:00 PM,"42.6761925, -73.80098939999999"
Albany/Albany County,Sheridan Park Spray Pad,"Sheridan Park Rd St, Albany, NY 12210",518-434-5699,Mon-Sun: 10:00 AM-6:00 PM,"42.6568622, -73.75890969999999"
Albany/Albany County,Swinburne Park Spray Pad,"810 Clinton Ave, Albany, NY 12206",518-434-5699,Mon-Sun: 10:00 AM-6:00 PM,"42.6712663, -73.7775709"
Menands/Albany County,Village of Menands Firehouse,"250 Broadway, Albany, NY 12204",518-463-9494,Call for operating hours,"42.6923091, -73.7247491"
Albany/Albany County,William K. Sanford Town Library,"629 Albany Shaker Rd, Albany, NY 12211",518-458-9274,Call for operating hours,"42.726155, -73.792069"
Angelica/Allegany County,Allegany County Office for the Aging,"6085 State Route 19, Belmont, NY 14813",585-268-9390,Mon - Fri: 8:30 AM - 4:00 PM,"42.2630391, -78.0663651"
Almond/Allegany County,Almond 20th Century Club Library,"42 N Main Street, Almond, NY 14804",607-276-6311,Tues - Fri: 2:00 PM - 7:00 PM; Sat: 11:00 AM - 3:00 PM,"42.3208347, -77.7370042"
Andover/Allegany County,Andover Free Library,"40 Main Street, Andover, NY 14806",607-478-8442,Tues: 11:00 AM - 7:00 PM; Wed: 10:00 AM - 2:00 PM; Thurs: 11:00 AM - 7:00 PM,"42.1561104, -77.79541789999999"
Belfast/Allegany County,Belfast Public Library,"75 Main Street, Belfast, NY 14711",585-365-2072,Mon: 10:00 AM - 1:00 PM; Tues: 3:00 PM - 7:00 PM; Wed: 10:00 AM - 1:00 PM & 3:00 PM - 7:00 PM; Thurs: 3:00 PM - 7:00 PM; Sat: 10:00 AM - 1:00 PM,"42.341232, -78.1122716"
Belmont/Allegany County,Belmont Literacy and Historical Library,"2 Willetts Avenue, Belmont, NY 14813",585-268-5308,Mon: 1:00 PM - 5:00 PM; Tues: 1:00 PM - 7:00 PM; Thurs: 9:00 AM - 3:00 PM; Fri: 1:00 PM - 5:00PM,"42.223583, -78.0355038"
Cuba/Allegany County,Cuba Circulating Library,"39 E Main Street, Cuba, NY 14727",585-968-1668,Mon-Thurs: 9:30 AM - 8:00 PM; Sat: 9:30 AM - 3:30 PM,"42.2179021, -78.2741765"
Wellsville/Allegany County,David A Howe Public Library (Fan cooled environment),"155 North Main Street, Wellsville, NY 14895",585-593-3410,Mon-Thurs: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,"42.12179, -77.94927799999999"
Little Genesee/Allegany County,Genesee Library,"8351 State Rte 417, Genesee, NY 14754",585-928-1915,Mon: 12:00 PM - 5:00 PM; Tues: 12:00 PM - 5:00 PM; Wed: 12:00 - 7:00 PM; Thurs: 12:00 PM - 5:00 PM,"42.0237792, -78.2102507"
Richburg/Allegany County,Richburg Colonial Library,"160 Main Street, Richburg, NY 14774",585-928-2694,Mon: 9:00 AM - 5:00 PM; Tues: 3:00 PM - 7:00 PM; Wed: 9:00 AM - 5:00 PM; Thurs: 3:00 PM - 7:00 PM,"42.087869, -78.1536378"
Scio/Allegany County,Scio Memorial Library,"3980 Main Street, Scio, NY 14880",585-593-4816,Tues: 1:00 PM - 7:00 PM; Wed: 1:00 PM - 7:00 PM; Thurs: 1:00 PM - 5:00 PM; Fri: 10:00 AM - 2:00 PM,"42.1726633, -77.9785464"
Whitesville/Allegany County,Whitesville Public Library (Fan cooled environment),"500 Main Street, Whitesville, NY 14897",607-356-3645,Mon: 9:00 AM - 5:00 PM;Tues: 2:00 PM - 6:00 PM; Wed: 9:00 AM - 5:00 PM; Thurs: 9:00 AM - 6:00 PM; Fri: 9:00 AM - 4:00 PM; Sat: 9:00 AM - 12:00 PM,"42.0379919, -77.7675178"
Fillmore/Allegany County,Wide Awake Club Library,"22 N Genesee Street, Fillmore, NY 14735",585-567-8301,Mon: 10:00 AM - 5:00 PM; Tues: 10:00 AM - 7:00 PM; Wed: 10:00 AM - 5:00 PM; Thurs: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 1:00 PM,"42.4671962, -78.1117027"
Binghamton/Broome County,Broome County Health Department,"225 Front St, Binghamton, NY 13905",607-778-3930,Mon-Fri: 8:00 AM - 4:00 PM,"42.1052875, -75.91670669999999"
Binghamton/Broome County,Broome County Public Library,"185 Court St, Binghamton, NY 13901",607-778-6400,Mon-Thurs: 9:00 AM - 8:00 PM; Fri & Sat: 9:00 AM - 5:00 PM,"42.1003892, -75.906855"
Endicott/Broome County,Broome West Senior Center,"2801 Wayne St, Endicott, NY 13760",607-785-1777,Mon-Fri: 9:00 AM - 3:00 PM,"42.1096833, -76.03078219999999"
Binghamton/Broome County,Chenango Bridge Senior Center,"740 River Road St., Binghamton, NY 13901",607-663-0406,Wed & Fri: 10:00 AM - 2:00 PM,"42.165991, -75.864811"
Binghamton/Broome County,Columbus Park Spray Pad,"38 Carroll St, Binghamton, NY 13901",607-772-7017,Mon-Sun: 11:30 AM-7 PM,"42.0971984, -75.90662379999999"
Deposit/Delaware County,Deposit Senior Center,"14 Monument St, Deposit, NY 13754",607-467-3953,Tues & Thurs: 10:00 AM - 2:00 PM,"42.0630415, -75.4213601"
Harpursville/Broome County,Eastern Broome Senior Center,"27 Golden Ln, Harpursville, NY 13787",607-693-2069,Mon-Fri: 9:00 AM - 2:30 PM,"42.1747248, -75.62376549999999"
Binghamton/Broome County,Fairview Pool,"54 Fairview Avenue, Binghamton, NY 13904",607-772-7017,"Mon-Sun: 11:30 AM-7 PM, closed 4:00 PM - 4:30 PM","42.1089259, -75.8749997"
Binghamton/Broome County,Fenton Free Library,"1062 Chenango St, Binghamton, NY 13901",607-724-8649,Mon-Fri: 10:00 AM - 6:00 PM,"42.14634969999999, -75.889124"
Binghamton/Broome County,First Ward Senior Recreation Center,"226 Clinton St., Binghamton, NY 13905",607-797-2307,Mon-Fri: 8:30 AM - 3:30 PM,"42.1069764, -75.930066"
Johnson City/Broome County,Floral Ave Pool,"243 Floral Ave, Johnson City, NY 13790",607-797-3031,Mon - Sun: 9:00 AM - 6:00 PM,"42.1077596, -75.9589608"
Endicott/Broome County,George F Johnson Memorial Library,"1001 Park St, Endicott, NY 13760",607-757-5350,Mon-Thurs: 9:00 AM - 8:00 PM; Fri & Sat: 9:00 AM - 5:00 PM,"42.0987737, -76.0508555"
Lisle/Broome County,Greenwood Park,"153 Greenwood Road, Lisle, NY 13797",607-862-9933,Mon - Sun: 8:00 AM - 8:00 PM,"42.2922, -76.093417"
Endwell/Broome County,Highland Park Pool,"801 Hooper Road, Endwell, NY 13760",607-786-2970,Until 5/25: Sat & Sun: 1:00 PM - 7:00 PM; 7/1 - 9/2: Mon-Sun: 1:00 PM - 7:00 PM,"42.1262947, -76.0285679"
Johnson City/Broome County,Johnson City Senior Center,"30 Brocton St, Johnson City, NY 13790",607-797-3145,Mon-Thurs: 9:00 AM - 4:00 PM; Fri: 9:00 AM - 2:00 PM,"42.1188108, -75.95491729999999"
Binghamton/Broome County,MacArthur Pool,"1081 Vestal Ave, Binghamton, NY 13903",607-772-7017,"Mon-Sun: 11:30 AM-7 PM, Closed 4:00 PM - 4:30 PM","42.0860618, -75.92430639999999"
Whitney Point/Broome County,Mary L. Wilcox Library,"2630 Main St, Whitney Point, NY 13862",607-692-3159,Mon & Fri: 11:00 AM - 5:00 PM; Tues: 11:00 AM - 8:00 PM; Wed & Thurs: 11:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"42.3292473, -75.9696543"
West Colesville/Broome County,Nathaniel Cole Park,"1674 Colesville Road, Harpursville, NY 13787",607-693-1389,Mon - Sun: 8:00 AM - 8:00 PM,"42.1425849, -75.70633400000001"
Binghamton/Broome County,North Shore Towers Senior Center,"24 Isbell St, Binghamton, NY 13901",607-772-6214,Mon-Fri: 10:00 AM - 2:00 PM,"42.0963517, -75.9101141"
Binghamton/Broome County,North Side Pool/Cheri Lindsey Park Pool,"1 Pleasant St, Binghamton, NY 13901",607-772-7017,"Mon-Sun: 11:30 AM - 7:00 PM, 6:00 PM - 7:00 PM adult swim only","42.1131591, -75.90546359999999"
Whitney Point/Broome County,Northern Broome Senior Center,"12 Strongs Pl, Whitney Point, NY 13862",607-692-3405,Mon-Fri: 9:00 AM - 3:00 PM,"42.326745, -75.96798849999999"
Johnson City/Broome County,Oakdale Commons,"601 Harry L Dr, Johnson City, NY 13790",607-798-9380,Mon-Thurs: 10:00 AM - 8:00 PM; Fri-Sat: 10:00AM - 9:00 PM; Sun: 11:00 PM - 6:00 PM,"42.1289601, -75.9750798"
Binghamton/Broome County,Recreation Park Pool,"103 Laurel Ave, Binghamton, NY 13905",607-772-7017,"Mon-Sun: 11:30 AM - 7:00 PM, 6:00 PM - 7:00 PM adult swim only","42.098621, -75.93275249999999"
Binghamton/Broome County,South Side Pool,"95 Jackson St, Binghamton, NY 13903",607-772-7017,"Mon-Sun: 11:30 AM - 7:00 PM, 6:00 PM - 7:00 PM adult swim only","42.0994328, -75.8928744"
Johnson City/Broome County,Spray Park at CFJ Park,"98 CFJ Blvd, Johnson City, NY 13790",607-797-3031,"Mon-Sun: 11:30 AM - 7:00 PM, 6:00 PM - 7:00 PM adult swim only","42.1174194, -75.9495965"
Vestal/Broome County,Vestal Public Library,"320 Vestal Parkway East, Vestal, NY 13850",607-754-4243,Mon-Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 10:00 AM - 4:00 PM,"42.0872917, -76.0458116"
Vestal/Broome County,Vestal Senior Center,"201 Main St, Vestal, NY 13850",607-754-9596,Mon-Fri: 9:00 AM - 2:00 PM,"42.0846478, -76.0518144"
Endicott/Broome County,West Endicott Park Pool,"525 Maple St, Endicott, NY 13760",607-786-2970,Until 5/25: Sat & Sun: 12:30 PM - 4:30 PM & 5:00 PM - 7:00 PM; 7/7 - 9/2: Mon - Sun: 12:30 PM - 4:30 PM & 5:00 PM - 7:00 PM,"42.0983407, -76.0741812"
Johnson City/Broome County,Your Home Public Library,"107 Main St, Johnson City, NY 13790",607-797-4816,Mon-Thurs: 9:00 AM - 7:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,"42.1132405, -75.9492691"
Allegany/Cattaraugus County,Allegany Public Library,"90 W Main St, Allegany, NY 14706",716-373-1056,Mon – Fri: 10:00 AM – 6:00 PM,"42.092032, -78.496725"
