city_county,location_name,address,phone,hours_of_operation,latitude_longitude
Ada/Pontotoc County,Ada Public Library,124 S. Rennie Ave.,580-436-8125,"M-F: 9 a.m. - 6 p.m., SAT: 9 a.m. - 1 p.m.","34.7737653, -96.67668189999999"
Alva/Woods County,Alva Public Library,504 7th St.,580-327-1833,"M: 9 a.m. - 7 p.m., T-F: 9 a.m. - 5:30 p.m., SAT: 9 a.m. - 12 p.m., SUN: Closed (Weather Permitting)","36.8033848, -98.6681808"
Alva/Woods County,Alva Senior Center/ Panhandle Nutrition,625 Barnes Ave.,580-327-1822,M-TH: 9 a.m. - 3 p.m. (Weather Permitting),"36.8033623, -98.64947719999999"
Ardmore/Carter County,Ardmore Public Library,320 E. St. NW,580-223-8290,"M-TH: 9 a.m. - 8 p.m., F-SAT: 9 a.m. - 5 p.m.","34.1782496, -97.1326567"
Ardmore/Carter County,Champion Public Library,601 Railway Express,580-223-3164,"M-TH: 8:30 a.m. - 7:30 p.m., F: 8:30 a.m. - 5 p.m., SAT: 10 a.m. - 2 p.m.","34.1703705, -97.1638282"
Bristow/Creek County,Bristow Public Library,111 W. 7th Ave.,918-367-6562,"M&amp;W: 9 a.m. - 6 p.m., T&amp;TH: 9 a.m. - 7 p.m., F: 9 a.m. - 3 p.m., SAT: 9 a.m. - 1 p.m.","35.8340442, -96.3920017"
Checotah/McIntosh County,Checotah Public Library,626 W. Gentry Ave.,918-473-6715,"M: 8:30 a.m. - 8 p.m., T-F: 8:30 a.m. - 6 p.m., SAT: 9 a.m. - 1:30 p.m.","35.4707432, -95.5275855"
Choctaw/Oklahoma County,Choctaw Public Library,2525 Muzzy St.,405-390-8418,"M-TH: 9 a.m. - 9 p.m., SAT: 9 a.m. - 4 p.m., SUN: 12 p.m. - 6 p.m.","35.4949064, -97.269922"
Clarksville AR/Johnson County,Marvin Vincent Center,1116 W. Oakland St.,479-754-4100,M-F: 8 a.m. - 8:30 p.m.,"35.4689819, -93.47587"
Davis/Murray County,Davis Public Library,209 E. Benton Ave.,580-369-2468,"M-TH: 11:30 a.m. - 5:30 p.m., F: 11:30 a.m. - 2:30 p.m., SAT: 10 a.m. - 1 p.m.","34.5058139, -97.12049619999999"
Durant/Bryan County,Don W. Reynolds Library,1515 W. Main St.,580-924-3486,"M-TH: 9 a.m. - 8 p.m., F-SAT: 9 a.m. - 5 p.m.","33.9945125, -96.3935119"
Durant/Bryan County,"The Mission, Marissa Banbewiez",4310 W. University Blvd,580-387-0091,T-TH: 12 p.m. for lunch,"34.0052202, -96.4207431"
Durant/Bryan County,Grace Baptist Church,206 E. Main St.,580-931-4997,SAT: lunchtime only,"33.99039, -96.37125449999999"
Edmond/Oklahoma County,Edmond Center,3413 Wynn Dr.,405-471-6967,M-F: 7:30 a.m. - 5:30 p.m.,"35.6219456, -97.48548350000002"
Enid/Garfield County,The Salvation Army,518 N. Independence St.,580-237-1910,Open as cool zone when temps exceed 97,"36.4020269, -97.88028109999999"
Enid/Garfield County,CDSA,114 S. Independence Ave.,580-242-6131,M-F: 8 a.m. - 5 p.m. (Weather Permitting),"36.396247, -97.8803088"
